hypothesis,coin,feature,month,period,monthly_ic
H1_visibility,SOL,musk_max_views_8h_log,2024-02-29,val,-0.06770508827179814
H1_visibility,SOL,musk_max_views_8h_log,2024-03-31,val,-0.07160523942602808
H1_visibility,SOL,musk_max_views_8h_log,2024-04-30,val,0.04103615196593988
H1_visibility,SOL,musk_max_views_8h_log,2024-05-31,val,-0.11225658341751935
H1_visibility,SOL,musk_max_views_8h_log,2024-06-30,val,0.1300512775044267
H1_visibility,SOL,musk_max_views_8h_log,2024-07-31,val,-0.021379146490783853
H1_visibility,SOL,musk_max_views_8h_log,2024-08-31,val,0.05369902244101999
H1_visibility,SOL,musk_max_views_8h_log,2024-09-30,val,0.06127404065130693
H1_visibility,SOL,musk_max_views_8h_log,2024-09-30,test,0.07035331144284315
H1_visibility,SOL,musk_max_views_8h_log,2024-10-31,test,-0.07847127292257772
H1_visibility,SOL,musk_max_views_8h_log,2024-11-30,test,0.012619382854395378
H1_visibility,SOL,musk_max_views_8h_log,2024-12-31,test,0.09030642338090873
H1_visibility,SOL,musk_max_views_8h_log,2025-01-31,test,0.10085693071512476
H1_visibility,SOL,musk_max_views_8h_log,2025-01-31,holdout,0.27636166107036714
H1_visibility,SOL,musk_max_views_8h_log,2025-02-28,holdout,-0.016740932281806765
H1_visibility,SOL,musk_max_views_8h_log,2025-03-31,holdout,0.086634808440118
H1_visibility,SOL,musk_max_views_8h_log,2025-04-30,holdout,0.07233853814293091
H1_visibility,DOGE,musk_max_views_8h_log,2023-01-31,train,0.1170137241589032
H1_visibility,DOGE,musk_max_views_8h_log,2023-02-28,train,-0.027949080951639855
H1_visibility,DOGE,musk_max_views_8h_log,2023-03-31,train,-0.0004816407146945264
H1_visibility,DOGE,musk_max_views_8h_log,2023-04-30,train,-0.000654140586672593
H1_visibility,DOGE,musk_max_views_8h_log,2023-05-31,train,-0.030886822734952857
H1_visibility,DOGE,musk_max_views_8h_log,2023-06-30,train,0.0192927036531246
H1_visibility,DOGE,musk_max_views_8h_log,2023-07-31,train,-0.05372299844566825
H1_visibility,DOGE,musk_max_views_8h_log,2023-08-31,train,-0.13738710991112923
H1_visibility,DOGE,musk_max_views_8h_log,2023-09-30,train,0.10554375632765654
H1_visibility,DOGE,musk_max_views_8h_log,2023-10-31,train,-0.1036495388553323
H1_visibility,DOGE,musk_max_views_8h_log,2023-11-30,train,-0.060667645702246045
H1_visibility,DOGE,musk_max_views_8h_log,2023-12-31,train,-0.05040106496502958
H1_visibility,DOGE,musk_max_views_8h_log,2024-01-31,train,-0.13394018067873326
H1_visibility,DOGE,musk_max_views_8h_log,2024-02-29,train,-0.2302961050537326
H1_visibility,DOGE,musk_max_views_8h_log,2024-02-29,val,-0.2475638044763796
H1_visibility,DOGE,musk_max_views_8h_log,2024-03-31,val,-0.2782502394707783
H1_visibility,DOGE,musk_max_views_8h_log,2024-04-30,val,0.10942395576047964
H1_visibility,DOGE,musk_max_views_8h_log,2024-05-31,val,-0.06444160955997752
H1_visibility,DOGE,musk_max_views_8h_log,2024-06-30,val,0.09868464770803609
H1_visibility,DOGE,musk_max_views_8h_log,2024-07-31,val,0.0428318084752046
H1_visibility,DOGE,musk_max_views_8h_log,2024-08-31,val,0.04914291544215555
H1_visibility,DOGE,musk_max_views_8h_log,2024-09-30,val,0.06884468895154867
H1_visibility,DOGE,musk_max_views_8h_log,2024-09-30,test,0.16783839857038085
H1_visibility,DOGE,musk_max_views_8h_log,2024-10-31,test,-0.019934585367714294
H1_visibility,DOGE,musk_max_views_8h_log,2024-11-30,test,-0.033531876158608774
H1_visibility,DOGE,musk_max_views_8h_log,2024-12-31,test,0.044742272741443746
H1_visibility,DOGE,musk_max_views_8h_log,2025-01-31,test,-0.04507491547615771
H1_visibility,DOGE,musk_max_views_8h_log,2025-01-31,holdout,0.3816299519765735
H1_visibility,DOGE,musk_max_views_8h_log,2025-02-28,holdout,0.004428764383039154
H1_visibility,DOGE,musk_max_views_8h_log,2025-03-31,holdout,0.04933149407442127
H1_visibility,DOGE,musk_max_views_8h_log,2025-04-30,holdout,0.17418692968851215
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-01-31,train,-0.01718249301916803
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-02-28,train,-0.023408730390491024
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-03-31,train,-0.0547838666815051
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-04-30,train,0.033090809980617975
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-05-31,train,0.008620885501502838
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-06-30,train,-0.04058274360362233
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-07-31,train,0.004829576606209912
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-08-31,train,-0.15196275644558976
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-09-30,train,-0.01058852607018328
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-10-31,train,0.0017730329076498204
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-11-30,train,-0.09462465756183136
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2023-12-31,train,0.015656191684742856
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-01-31,train,-0.06592479344207942
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-02-29,train,0.021589796291801508
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-02-29,val,0.050222383346900434
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-03-31,val,-0.08398321260585134
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-04-30,val,0.05786450337057979
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-05-31,val,-0.026395372693182415
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-06-30,val,0.05351934255072807
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-07-31,val,0.013148625393538275
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-08-31,val,0.11444286877408895
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-09-30,val,0.09741999339897177
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-09-30,test,-0.003918978518352689
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-10-31,test,-0.04240691730807851
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-11-30,test,0.02824487405391641
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2024-12-31,test,0.049174497389832504
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-01-31,test,0.07700003603038921
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.20681676920138994
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.00027810084938939756
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.06275734167688524
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.10562595181653262
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-01-31,train,-0.009263218337712634
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-02-28,train,-0.004940575620271404
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-03-31,train,-0.0349330320821017
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-04-30,train,0.07303325993359254
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-05-31,train,-0.01238499212716491
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-06-30,train,0.004794594359274374
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-07-31,train,-0.04984475935522559
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-08-31,train,-0.1497305075115974
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-09-30,train,0.024396647879155624
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-10-31,train,0.07799359984918315
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-11-30,train,-0.03744150034176467
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2023-12-31,train,-0.02231886160249349
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-01-31,train,0.0045208861882603535
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-02-29,train,-0.014823637098396967
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-02-29,val,0.0005008164296339018
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-03-31,val,0.0077437588101732565
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-04-30,val,0.052077034947583666
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-05-31,val,-0.029300006569677055
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-06-30,val,0.0756339370292636
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-07-31,val,0.06477601112693912
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-08-31,val,0.07992917082080306
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-09-30,val,0.15466938587110252
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-09-30,test,0.047101575949244454
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-10-31,test,-0.05740204216147691
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-11-30,test,0.017581268886744373
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2024-12-31,test,0.11939824449014587
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-01-31,test,0.09837298973129148
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.15211694607691925
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-02-28,holdout,-0.0073323120923351895
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.05817663349738274
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.07970333552295858
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-01-31,train,0.03168519953296257
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-02-28,train,-0.016708609529988414
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-03-31,train,-0.012072986150651076
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-04-30,train,0.019789355499605307
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-05-31,train,0.05293596673182068
