hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-03-12 00:00:00,train,0.0317023277313536
H1_visibility,BTC,musk_max_views_8h_log,2023-03-13 00:00:00,train,-0.017388969531260273
H1_visibility,BTC,musk_max_views_8h_log,2023-03-14 00:00:00,train,-0.012748268362753367
H1_visibility,BTC,musk_max_views_8h_log,2023-03-15 00:00:00,train,-0.028987339921336404
H1_visibility,BTC,musk_max_views_8h_log,2023-03-16 00:00:00,train,-0.011353432090036975
H1_visibility,BTC,musk_max_views_8h_log,2023-03-17 00:00:00,train,-0.022733202876263816
H1_visibility,BTC,musk_max_views_8h_log,2023-03-18 00:00:00,train,-0.07786682349885221
H1_visibility,BTC,musk_max_views_8h_log,2023-03-19 00:00:00,train,-0.08634541985350318
H1_visibility,BTC,musk_max_views_8h_log,2023-03-20 00:00:00,train,-0.08358724907937484
H1_visibility,BTC,musk_max_views_8h_log,2023-03-21 00:00:00,train,-0.08891627367170934
H1_visibility,BTC,musk_max_views_8h_log,2023-03-22 00:00:00,train,-0.05885719499232919
H1_visibility,BTC,musk_max_views_8h_log,2023-03-23 00:00:00,train,-0.05343401382773625
H1_visibility,BTC,musk_max_views_8h_log,2023-03-24 00:00:00,train,-0.027973279322804516
H1_visibility,BTC,musk_max_views_8h_log,2023-03-25 00:00:00,train,-0.02158631490512602
H1_visibility,BTC,musk_max_views_8h_log,2023-03-26 00:00:00,train,0.005753570072921587
H1_visibility,BTC,musk_max_views_8h_log,2023-03-27 00:00:00,train,-0.008698331578960303
H1_visibility,BTC,musk_max_views_8h_log,2023-03-28 00:00:00,train,-0.02275677398541196
H1_visibility,BTC,musk_max_views_8h_log,2023-03-29 00:00:00,train,-0.016352973735472284
H1_visibility,BTC,musk_max_views_8h_log,2023-03-30 00:00:00,train,-0.03311573644825562
H1_visibility,BTC,musk_max_views_8h_log,2023-03-31 00:00:00,train,-0.016073351717954622
H1_visibility,BTC,musk_max_views_8h_log,2023-04-01 00:00:00,train,-0.003225019124925194
H1_visibility,BTC,musk_max_views_8h_log,2023-04-02 00:00:00,train,-0.018048287001644125
H1_visibility,BTC,musk_max_views_8h_log,2023-04-03 00:00:00,train,-0.05109659971494872
H1_visibility,BTC,musk_max_views_8h_log,2023-04-04 00:00:00,train,-0.03853939592343115
H1_visibility,BTC,musk_max_views_8h_log,2023-04-05 00:00:00,train,-0.03869468287603606
H1_visibility,BTC,musk_max_views_8h_log,2023-04-06 00:00:00,train,-0.03051672354058891
H1_visibility,BTC,musk_max_views_8h_log,2023-04-07 00:00:00,train,-0.03631337285554347
H1_visibility,BTC,musk_max_views_8h_log,2023-04-08 00:00:00,train,-0.05622423529760543
H1_visibility,BTC,musk_max_views_8h_log,2023-04-09 00:00:00,train,-0.08199060588437923
H1_visibility,BTC,musk_max_views_8h_log,2023-04-10 00:00:00,train,-0.06723508073152092
H1_visibility,BTC,musk_max_views_8h_log,2023-04-11 00:00:00,train,-0.05103233704290289
H1_visibility,BTC,musk_max_views_8h_log,2023-04-12 00:00:00,train,-0.03306318632635449
H1_visibility,BTC,musk_max_views_8h_log,2023-04-13 00:00:00,train,-0.05451558510320442
H1_visibility,BTC,musk_max_views_8h_log,2023-04-14 00:00:00,train,-0.02809717538244521
H1_visibility,BTC,musk_max_views_8h_log,2023-04-15 00:00:00,train,-0.044686402356490885
H1_visibility,BTC,musk_max_views_8h_log,2023-04-16 00:00:00,train,-0.029459155993573703
H1_visibility,BTC,musk_max_views_8h_log,2023-04-17 00:00:00,train,-0.012564771187916315
H1_visibility,BTC,musk_max_views_8h_log,2023-04-18 00:00:00,train,-0.0023333336438872104
H1_visibility,BTC,musk_max_views_8h_log,2023-04-19 00:00:00,train,-0.005581855905441173
H1_visibility,BTC,musk_max_views_8h_log,2023-04-20 00:00:00,train,-0.00032540250416277297
H1_visibility,BTC,musk_max_views_8h_log,2023-04-21 00:00:00,train,-0.009409585617338219
H1_visibility,BTC,musk_max_views_8h_log,2023-04-22 00:00:00,train,0.0043843145546700315
H1_visibility,BTC,musk_max_views_8h_log,2023-04-23 00:00:00,train,-0.006649473966503806
H1_visibility,BTC,musk_max_views_8h_log,2023-04-24 00:00:00,train,-0.0035100733017023136
H1_visibility,BTC,musk_max_views_8h_log,2023-04-25 00:00:00,train,-0.00014712436552036034
H1_visibility,BTC,musk_max_views_8h_log,2023-04-26 00:00:00,train,0.014171176246117452
H1_visibility,BTC,musk_max_views_8h_log,2023-04-27 00:00:00,train,0.0466166670012382
H1_visibility,BTC,musk_max_views_8h_log,2023-04-28 00:00:00,train,0.07698692057469053
H1_visibility,BTC,musk_max_views_8h_log,2023-04-29 00:00:00,train,0.10357725758316333
H1_visibility,BTC,musk_max_views_8h_log,2023-04-30 00:00:00,train,0.08730198442653392
H1_visibility,BTC,musk_max_views_8h_log,2023-05-01 00:00:00,train,0.027374204011036084
H1_visibility,BTC,musk_max_views_8h_log,2023-05-02 00:00:00,train,0.046831914707311316
H1_visibility,BTC,musk_max_views_8h_log,2023-05-03 00:00:00,train,0.06450104544660475
H1_visibility,BTC,musk_max_views_8h_log,2023-05-04 00:00:00,train,0.014675349863164315
H1_visibility,BTC,musk_max_views_8h_log,2023-05-05 00:00:00,train,0.011525695928987105
H1_visibility,BTC,musk_max_views_8h_log,2023-05-06 00:00:00,train,-0.005326463699825731
H1_visibility,BTC,musk_max_views_8h_log,2023-05-07 00:00:00,train,-0.022899163145232018
H1_visibility,BTC,musk_max_views_8h_log,2023-05-08 00:00:00,train,-0.03381909522502651
H1_visibility,BTC,musk_max_views_8h_log,2023-05-09 00:00:00,train,-0.04102878679310114
H1_visibility,BTC,musk_max_views_8h_log,2023-05-10 00:00:00,train,-0.03192991372591604
H1_visibility,BTC,musk_max_views_8h_log,2023-05-11 00:00:00,train,-0.048840378472333
H1_visibility,BTC,musk_max_views_8h_log,2023-05-12 00:00:00,train,-0.015568376780158048
H1_visibility,BTC,musk_max_views_8h_log,2023-05-13 00:00:00,train,-0.03214287110874898
H1_visibility,BTC,musk_max_views_8h_log,2023-05-14 00:00:00,train,-0.06585571105252554
H1_visibility,BTC,musk_max_views_8h_log,2023-05-15 00:00:00,train,-0.055084132570086146
H1_visibility,BTC,musk_max_views_8h_log,2023-05-16 00:00:00,train,-0.044029494151506025
H1_visibility,BTC,musk_max_views_8h_log,2023-05-17 00:00:00,train,-0.02483789942217107
H1_visibility,BTC,musk_max_views_8h_log,2023-05-18 00:00:00,train,-0.024110398522363935
H1_visibility,BTC,musk_max_views_8h_log,2023-05-19 00:00:00,train,0.0031388522104883613
H1_visibility,BTC,musk_max_views_8h_log,2023-05-20 00:00:00,train,0.01526686416315659
H1_visibility,BTC,musk_max_views_8h_log,2023-05-21 00:00:00,train,0.006484252418790914
H1_visibility,BTC,musk_max_views_8h_log,2023-05-22 00:00:00,train,0.005981185753661262
H1_visibility,BTC,musk_max_views_8h_log,2023-05-23 00:00:00,train,0.0019080088102945531
H1_visibility,BTC,musk_max_views_8h_log,2023-05-24 00:00:00,train,0.0022959132540150834
