hypothesis,coin,feature,month,period,monthly_ic
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.07970333552295858
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-02-29,val,0.0368959140459487
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-03-31,val,-0.011558076861988488
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-04-30,val,0.06287810079096141
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-05-31,val,-0.1465553094092341
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-06-30,val,0.052193650990079464
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-07-31,val,-0.050385240115846726
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-08-31,val,0.09077437042929916
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-09-30,val,0.108519157254539
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.0835123306610732
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.04732924075401696
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.09673117962883507
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.0974724197959609
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-02-29,val,-0.041008474312095
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-03-31,val,-0.1264888726694782
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-04-30,val,0.10336455951244475
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-05-31,val,-0.10896052520707417
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-06-30,val,0.07072285246584888
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-07-31,val,0.0816758483601487
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-08-31,val,0.10375772999090954
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-09-30,val,0.037941835486299744
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.11582873695185225
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.03330134538232582
