hypothesis,coin,feature,period,mean,median,std,q25,q75,nonzero_pct
H1_visibility,BTC,musk_max_views_8h_log,train,6.739185096162083,0.0,6.974751514206876,0.0,13.340815943230416,0.4956521739130435
H1_visibility,BTC,musk_max_views_8h_log,val,8.392023964593902,11.144452627341874,7.036531228693185,0.0,14.024934891294773,0.6093562574970012
H1_visibility,BTC,musk_max_views_8h_log,holdout,13.972840803830266,17.00355502363368,6.2531374614653,14.38860312478682,17.56630258060568,0.8425787106446777
H1_visibility,ETH,musk_max_views_8h_log,train,6.739185096162083,0.0,6.974751514206876,0.0,13.340815943230416,0.4956521739130435
H1_visibility,ETH,musk_max_views_8h_log,val,8.392023964593902,11.144452627341874,7.036531228693185,0.0,14.024934891294773,0.6093562574970012
H1_visibility,ETH,musk_max_views_8h_log,holdout,13.972840803830266,17.00355502363368,6.2531374614653,14.38860312478682,17.56630258060568,0.8425787106446777
H1_visibility,SOL,musk_max_views_8h_log,train,6.739185096162083,0.0,6.974751514206876,0.0,13.340815943230416,0.4956521739130435
H1_visibility,SOL,musk_max_views_8h_log,val,8.392023964593902,11.144452627341874,7.036531228693185,0.0,14.024934891294773,0.6093562574970012
H1_visibility,SOL,musk_max_views_8h_log,holdout,13.972840803830266,17.00355502363368,6.2531374614653,14.38860312478682,17.56630258060568,0.8425787106446777
H1_visibility,DOGE,musk_max_views_8h_log,train,6.739185096162083,0.0,6.974751514206876,0.0,13.340815943230416,0.4956521739130435
H1_visibility,DOGE,musk_max_views_8h_log,val,8.392023964593902,11.144452627341874,7.036531228693185,0.0,14.024934891294773,0.6093562574970012
H1_visibility,DOGE,musk_max_views_8h_log,holdout,13.972840803830266,17.00355502363368,6.2531374614653,14.38860312478682,17.56630258060568,0.8425787106446777
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,train,3.8655144290684103,0.0,5.978559876352087,0.0,10.78365892308022,0.3024487756121939
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,val,4.91119693341708,0.0,6.454103892113779,0.0,11.081197935316482,0.3824470211915234
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,holdout,9.547718723108124,13.87054662783787,7.910727534183873,0.0,16.803095191417707,0.6041979010494752
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,train,3.8655144290684103,0.0,5.978559876352087,0.0,10.78365892308022,0.3024487756121939
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,val,4.91119693341708,0.0,6.454103892113779,0.0,11.081197935316482,0.3824470211915234
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,holdout,9.547718723108124,13.87054662783787,7.910727534183873,0.0,16.803095191417707,0.6041979010494752
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,train,3.8655144290684103,0.0,5.978559876352087,0.0,10.78365892308022,0.3024487756121939
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,val,4.91119693341708,0.0,6.454103892113779,0.0,11.081197935316482,0.3824470211915234
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,holdout,9.547718723108124,13.87054662783787,7.910727534183873,0.0,16.803095191417707,0.6041979010494752
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,train,3.8655144290684103,0.0,5.978559876352087,0.0,10.78365892308022,0.3024487756121939
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,val,4.91119693341708,0.0,6.454103892113779,0.0,11.081197935316482,0.3824470211915234
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,9.547718723108124,13.87054662783787,7.910727534183873,0.0,16.803095191417707,0.6041979010494752
H3_coin_specific,BTC,musk_mentions_BTC_8h,train,0.0047976011994002995,0.0,0.06910181972746463,0.0,0.0,0.0047976011994002995
H3_coin_specific,BTC,musk_mentions_BTC_8h,val,0.003198720511795282,0.0,0.05647234959790883,0.0,0.0,0.003198720511795282
H3_coin_specific,BTC,musk_mentions_BTC_8h,holdout,0.00399800099950025,0.0,0.06311899869296089,0.0,0.0,0.00399800099950025
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,train,0.5013493253373313,0.0,0.918795681427112,0.0,1.0,0.31624187906046974
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,val,0.5261895241903238,0.0,0.8834351945205885,0.0,1.0,0.34486205517792884
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,2.3908045977011496,2.0,2.769331219319721,0.0,3.0,0.7181409295352323
H4_accumulated_attention,BTC,musk_sum_views_24h_log,train,12.445214993591444,14.144734445803097,5.712517714718853,12.158933867072472,16.209649238141246,0.8438780609695152
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,14.225217251870049,15.926136138054042,4.828087158809002,12.484041446527987,17.696059655706534,0.9232307077169132
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,18.713355184265954,18.932455682976006,1.0739977183681602,18.379779277524303,19.29627967283098,1.0
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,train,12.227942703863244,13.838173795692553,5.580552322016303,11.865566282753026,15.888101940787893,0.8438780609695152
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,13.917843371947914,15.841977128873243,4.697890754582947,11.994145618062179,17.260207657842475,0.9232307077169132
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,17.5453771365436,17.674977450933028,0.8001585677902603,17.417143634750893,17.902193780260145,1.0
H4_accumulated_attention,ETH,musk_sum_views_24h_log,train,12.445214993591444,14.144734445803097,5.712517714718853,12.158933867072472,16.209649238141246,0.8438780609695152
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,14.225217251870049,15.926136138054042,4.828087158809002,12.484041446527987,17.696059655706534,0.9232307077169132
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,18.713355184265954,18.932455682976006,1.0739977183681602,18.379779277524303,19.29627967283098,1.0
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,train,12.227942703863244,13.838173795692553,5.580552322016303,11.865566282753026,15.888101940787893,0.8438780609695152
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,13.917843371947914,15.841977128873243,4.697890754582947,11.994145618062179,17.260207657842475,0.9232307077169132
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,17.5453771365436,17.674977450933028,0.8001585677902603,17.417143634750893,17.902193780260145,1.0
H4_accumulated_attention,SOL,musk_sum_views_24h_log,train,12.445214993591444,14.144734445803097,5.712517714718853,12.158933867072472,16.209649238141246,0.8438780609695152
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,14.225217251870049,15.926136138054042,4.828087158809002,12.484041446527987,17.696059655706534,0.9232307077169132
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,18.713355184265954,18.932455682976006,1.0739977183681602,18.379779277524303,19.29627967283098,1.0
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,train,12.227942703863244,13.838173795692553,5.580552322016303,11.865566282753026,15.888101940787893,0.8438780609695152
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,13.917843371947914,15.841977128873243,4.697890754582947,11.994145618062179,17.260207657842475,0.9232307077169132
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,17.5453771365436,17.674977450933028,0.8001585677902603,17.417143634750893,17.902193780260145,1.0
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,train,12.445214993591444,14.144734445803097,5.712517714718853,12.158933867072472,16.209649238141246,0.8438780609695152
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,14.225217251870049,15.926136138054042,4.828087158809002,12.484041446527987,17.696059655706534,0.9232307077169132
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,18.713355184265954,18.932455682976006,1.0739977183681602,18.379779277524303,19.29627967283098,1.0
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,train,12.227942703863244,13.838173795692553,5.580552322016303,11.865566282753026,15.888101940787893,0.8438780609695152
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,13.917843371947914,15.841977128873243,4.697890754582947,11.994145618062179,17.260207657842475,0.9232307077169132
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,17.5453771365436,17.674977450933028,0.8001585677902603,17.417143634750893,17.902193780260145,1.0
