hypothesis,coin,feature,period,decile,avg_return,count
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,3,-35.034013701067856,200
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,4,-9.057250847101255,200
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,5,-29.460937146115818,200
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,6,3.7130906609228465,200
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,holdout,7,-3.458151949180144,200
H3_coin_specific,BTC,musk_mentions_BTC_8h,val,1,3.568811462483472,5002
H3_coin_specific,BTC,musk_mentions_BTC_8h,holdout,1,-8.285411548132421,2001
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,val,1,11.452587506545356,4386
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,val,2,1.8159634053242886,411
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,val,3,-51.17674357630186,205
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,1,-16.397433660008563,955
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,2,-36.83406583628695,333
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,3,-14.09485029710561,216
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,4,-63.84887364665549,197
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,5,-6.33961896948886,141
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,holdout,6,-67.22671677122085,159
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,1,-16.337128856598827,503
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,2,-59.471951425530634,501
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,3,80.25348817248563,497
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,4,32.973959553980045,502
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,5,44.79470808221914,498
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,6,20.34494065275571,502
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,7,33.38690438528398,502
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,8,39.95478738000586,496
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,9,-26.326229754759055,502
H4_accumulated_attention,BTC,musk_sum_views_24h_log,val,10,-35.95987497408437,499
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,1,-30.73494091762993,205
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,2,45.32431130001621,198
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,3,29.78542521584453,200
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,4,-27.40451571451664,198
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,5,74.9827469973596,200
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,6,-79.22459964407884,203
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,7,-25.624359655550805,197
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,8,-145.30394379693195,200
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,9,-19.22593755517419,215
H4_accumulated_attention,BTC,musk_sum_views_24h_log,holdout,10,-30.28694276678898,185
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,1,-39.253505785362755,508
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,2,-37.78859643413011,501
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,3,113.11631014390302,495
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,4,-6.013918499590621,510
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,5,51.81525702814919,496
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,6,-28.65962300669707,497
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,7,75.40147616331137,498
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,8,-30.197845365497546,503
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,9,60.28340235639929,496
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,val,10,-42.982450603491216,498
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,1,6.900462499203835,203
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,2,71.42244477259102,212
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,3,-84.02117237012993,190
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,4,-18.17014943254127,203
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,5,0.4689837795661792,195
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,6,69.41477122427392,200
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,7,-78.98052125236411,221
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,8,24.31408591699217,197
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,9,-33.4731350651509,183
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,holdout,10,-171.57737275563645,197
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,1,14.123851653940246,503
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,2,-84.62071122629507,501
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,3,50.81650399588027,497
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,4,-30.070100006968634,502
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,5,70.83558763298956,498
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,6,-24.29246296809678,502
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,7,35.94106276897018,502
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,8,33.63231953278361,496
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,9,-55.84334185881828,502
H4_accumulated_attention,ETH,musk_sum_views_24h_log,val,10,-62.78433326852698,499
